EFO:0003755,FL-cDNA
EFO:0008441,full length single cell RNA sequencing
EFO:0008747,FRISCR
EFO:0008763,Hi-SCL
EFO:0008797,MATQ-seq
EFO:0008877,Quartz-seq
EFO:0008930,Smart-seq
EFO:0008931,Smart-seq2
EFO:0008956,SUPeR-seq
EFO:0009810,full length single nucleus RNA sequencing
EFO:0010004,SCRB-seq
EFO:0010022,Smart-3Seq
EFO:0010058,Fluidigm C1-based library preparation
EFO:0010184,Smart-like
EFO:0022396,TruSeq
EFO:0022488,Smart-seq3
EFO:0022839,STORM-seq
EFO:0030031,SCOPE-chip
EFO:0030061,mcSCRB-seq
EFO:0700016,Smart-seq v4
